KELAS,HARI,MATA_KULIAH,WAKTU,RUANG,DOSEN,Kode_Kelas
1DB01,Senin,Algoritma & Pemrograman 1A *,2/3,G315,RINA REFIANTI MUTIARA,1DB01
1DB01,Senin,Ilmu Alamiah Terapan B,4/5,G315,RINA RAVELA SUSANTIKA,1DB01
1DB01,Senin,Ilmu Alamiah Terapan A,7/8,G115,RINA RAVELA SUSANTIKA,1DB01
1DB01,Senin,Algoritma & Pemrograman 1B *,9/10,G115,AHMAD HIDAYAT,1DB01
1DB01,Rabu,Matematika Dasar 1A,4/5,G128,DYAH CITA IRAWATI,1DB01
1DB01,Rabu,Sistem Basis Data 1 **,7/8,G128,SUHARNI,1DB01
1DB01,Rabu,Pengantar Sistem Informasi *,9/10,G128,EGY WISNU MOYO,1DB01
1DB01,Kamis,Pengantar Sistem Komputer A **,3/4,G1410,PUJI SULARSIH,1DB01
1DB01,Kamis,Bahasa Indonesia,5/6,G112,ARI WIJAYA BASUKI RAHARJO,1DB01
1DB01,Kamis,Pengantar Sistem Komputer C **,9/10,G217,FITRI SJAFRINA,1DB01
1DB01,Jum'at,Algoritma & Pemrograman 1C *,3/4,E346,DINA AGUSTEN,1DB01
1DB01,Jum'at,Matematika Dasar 1B,7/8,E236,PRISKA RESTU UTAMI,1DB01
1DB01,Jum'at,Pengantar Sistem Komputer B **,9/10,E236,SRI DWI SUGIARSIH,1DB01
2DB01,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2DB01
2DB01,Selasa,Pemrograman Berbasis Web 1,1/2,E241,HANUM PUTRI PERMATASARI,2DB01
2DB01,Selasa,Teknik Pemrog. Terstruktur 1 **,4/5,E241,DINA AGUSTEN,2DB01
2DB01,Selasa,Pemrograman Berbasis Mobile 1,6/7,E241,MUFNI ALIDA,2DB01
2DB01,Kamis,Arst. dan Org. Sistem Komputer,1/2,G445,I WAYAN KRISHNA DARMA,2DB01
2DB01,Kamis,Pendidikan Pancasila *,3/4,G445,METI NURHAYATI,2DB01
2DB01,Kamis,Matematika Informatika 1 **,6/7,G122,HENNY WIDOWATI FARIDA,2DB01
2DB01,Kamis,Dasar Perancangan Sistem *,8/9/10,G122,RESTU SAPUTRO,2DB01
2DB01,Sabtu,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2DB01
3DB01,Selasa,Komunikasi Data dan Jaringan Komp,1/2/3,E443,SINGGIH JATMIKO,3DB01
3DB01,Selasa,Proyek Pemrog. Berbasis Mobile,4/5,E443,MUFNI ALIDA,3DB01
